Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Indonesia,IDN,"Prevalensi HIV, total (% dari populasi usia 15-49)",SH.DYN.AIDS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,
Indonesia,IDN,"Belanja masyarakat untuk pendidikan, total (% dari PDB)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,2.788209915,,,,,,,,,,,,,,,,,0.871410012,,,,,0.998549998,1.004349947,1.078549981,1.072080016,,,,2.460030079,2.645689964,3.217999935,2.748470068,2.872819901,,3.044250011,2.901900053,3.525130033,2.81227994,3.189440012,3.407480001,3.359040022,3.288009882,3.583600044,3.5,2.669980049,3,2.841850042,3.49000001,,
Indonesia,IDN,"Mendaftar sekolah, tingkat menengah (% bruto)",SE.SEC.ENRR,,,,,,,,,,,18.21685028,18.58095932,18.6744709,19.00094986,19.57959938,21.07662964,21.84816933,22.5908699,24.02809906,,,28.35577965,30.53544044,34.04795837,34.30062103,,41.89925003,47.39434052,49.34970093,49.19266129,46.59009171,44.81515884,44.06684113,43.72927094,44.75057983,47.57899857,50.34727097,54.08287048,54.32743073,54.40660858,55.07712173,55.5403595,57.16159058,60.14321899,61.86724091,60.15428925,62.64102936,70.54091644,69.65622711,74.6276474,76.42624664,79.11447906,80.45233154,82.63764191,82.68238068,86.12274933,84.95211792,87.05921936,88.91017151,,,,
Indonesia,IDN,"Mendaftar sekolah, tingkat dasar (% bruto)",SE.PRM.ENRR,,,,,,,,,,,83.68039703,84.84853363,85.82485199,86.10675049,85.02404022,87.14016724,89.80815125,92.30196381,100.4041367,,,109.9654312,114.4721832,116.7042084,119.5692215,121.1644669,119.5977631,118.1014175,117.1539001,116.3139496,114.3413086,112.620842,110.8872604,110.2424927,110.963623,110.4830093,109.9648972,109.9005508,110.7341919,111.3510666,108.759491,109.7509232,109.9209518,109.5265274,108.9343033,107.9554367,106.2683792,109.3057709,107.8225403,108.5492401,109.1503372,109.1798325,109.2734222,106.8415909,106.0734024,105.9602432,105.6098785,105.9114304,106.41082,90.98205566,90.1439209,,
Indonesia,IDN,"Tingkat kelulusan sekolah dasar, total (% dari kelompok usia yang sesuai)",SE.PRM.CMPT.ZS,,,,,,,,,,,,,51.90975189,53.09521103,50.92945099,49.3127594,48.77811813,53.31087112,56.08176041,,,65.46832275,70.01609802,75.2002182,84.66932678,94.16758728,96.57727814,95.82688904,95.96594238,96.16068268,93.31404877,90.26772308,88.69213867,92.12132263,94.56243134,94.49137878,93.49292755,94.11903381,,,,93.75627136,95.05402374,95.65924072,95.59570313,94.2734375,92.56089783,96.64581299,96.69259644,98.54908752,100.5890884,,103.098259,101.1456299,103.4515305,,,100.8259201,102.3348389,,,,
Indonesia,IDN,Rasio anak perempuan terhadap anak laki-laki di pendidikan dasar dan menengah (%),SE.ENR.PRSC.FM.ZS,,,,,,,,,,,0.806020021,0.800249994,0.799269974,0.786870003,0.77275002,0.81694001,0.837040007,0.837080002,0.839699984,,,0.839999974,0.858730018,0.897849977,0.900730014,,,,0.90842998,0.922969997,0.930589974,0.938650012,0.945789993,0.928030014,0.934509993,0.931890011,0.931630015,,,0.964850008,0.970269978,0.978320003,0.980740011,0.982840002,0.986850023,0.975489974,0.982860029,0.978890002,0.98417002,0.982670009,1.020810008,1.022259951,1.008219957,0.984489977,0.982280016,0.985639989,0.995899975,0.993650019,0.993399978,,,,
Indonesia,IDN,"Angka melek huruf, total dewasa (% orang berusia 15 tahun ke atas)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,67.31266785,,,,,,,,,,81.51985168,,,,,,,,,,,,,,90.38478851,,91.98226929,,92.19229889,92.58170319,,92.81191254,,,95.11621857,95.21793365,95.37696838,,95.65856171,,95.99900818,,
Indonesia,IDN,"INB per kapita, PPP (mata uang $ internasional)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2920,3170,3400,3680,4020,4360,4720,4940,4150,4090,4370,4710,4970,5190,5490,5890,6360,6870,7370,7660,8210,8770,9370,9710,9890,9880,10150,10600,11320,11980,11820,12680,
Indonesia,IDN,"INB per kapita, metode Atlas (mata uang US$)",NY.GNP.PCAP.CD,,,,,,,,,,70,80,80,90,110,160,220,270,300,350,390,470,530,560,530,520,500,510,510,510,520,560,600,660,740,850,980,1080,1090,650,570,570,710,780,890,1070,1210,1360,1580,1920,2130,2510,2990,3550,3710,3600,3420,3400,3530,3850,4070,3900,4180,
Indonesia,IDN,"INB, PPP (mata uang $ internasional)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31736E+11,5.87732E+11,6.40201E+11,7.05158E+11,7.83579E+11,8.63463E+11,9.50563E+11,1.00986E+12,8.62363E+11,8.62958E+11,9.35805E+11,1.0228E+12,1.09355E+12,1.15818E+12,1.23943E+12,1.34714E+12,1.47442E+12,1.61284E+12,1.75278E+12,1.84669E+12,2.00243E+12,2.16777E+12,2.34531E+12,2.45927E+12,2.53433E+12,2.55988E+12,2.65703E+12,2.80242E+12,3.02372E+12,3.23029E+12,3.2139E+12,3.47117E+12,
